num_elements,num_directions,optimization,uvw_time,imaging_time
10,1,optimized,0.15,12.61
10,1,non-optimized,0.64,12.70
25,1,optimized,0.17,13.43
25,1,non-optimized,3.53,13.01
50,1,optimized,0.26,12.94
50,1,non-optimized,13.87,13.30
100,1,optimized,0.57,13.18
100,1,non-optimized,56.87,17.27
250,1,optimized,3.07,15.88
250,1,non-optimized,369.20,45.56
500,1,optimized,14.06,28.36
500,1,non-optimized,1400.19,131.53
1000,1,optimized,42.97,61.10
1000,1,non-optimized,5680.52,506.64
2000,1,optimized,159.95,204.93
2000,1,non-optimized,24663.23,1959.36
4000,1,optimized,722.55,875.17
4000,1,non-optimized,98832.80,7368.21
8000,1,optimized,2804.32,3682.40
8000,1,non-optimized,336436.47,28232.30
16000,1,optimized,10172.28,12810.10
32000,1,optimized,63788.99,48549.20
10,5,optimized,0.38,60.39
10,5,non-optimized,2.78,59.56
25,5,optimized,0.49,60.42
25,5,non-optimized,18.27,61.14
50,5,optimized,0.75,58.02
50,5,non-optimized,71.66,62.23
100,5,optimized,1.89,59.79
100,5,non-optimized,299.92,87.09
250,5,optimized,9.43,72.30
250,5,non-optimized,1772.53,191.05
500,5,optimized,42.13,121.73
500,5,non-optimized,7255.09,670.71
1000,5,optimized,160.15,294.44
1000,5,non-optimized,29267.00,2553.68
2000,5,optimized,707.22,1005.86
2000,5,non-optimized,129541.14,10142.50
4000,5,optimized,3674.86,4485.38
6000,5,optimized,8292.98,9943.71
10000,5,optimized,21853.55,27154.90
10,10,optimized,0.60,109.03
10,10,non-optimized,4.97,118.47
25,10,optimized,0.79,109.02
25,10,non-optimized,35.18,109.91
50,10,optimized,1.38,110.09
50,10,non-optimized,153.69,124.13
100,10,optimized,3.43,115.28
100,10,non-optimized,561.55,156.21
250,10,optimized,17.51,142.51
250,10,non-optimized,3783.07,417.01
500,10,optimized,72.45,235.86
500,10,non-optimized,13840.24,1396.51
1000,10,optimized,310.37,606.15
1000,10,non-optimized,61143.58,5216.13
2000,10,optimized,1351.75,2122.59
2000,10,non-optimized,237775.02,18260.13
4000,10,optimized,6697.61,7788.70
6000,10,optimized,15248.23,17296.84
10000,10,optimized,43384.19,55675.00